timestamp,username,text,is_retweeted,user_retweeted
2020-03-30 23:59:23,sorin_emmanuel,"RT @LaBajon: La Bajon- La Santé 
Bon courage à tout le personnel hospitalier et à tous ceux qui sont obligés de bosser sur le terrain penda…",True,LaBajon
2020-03-30 23:58:50,DelestreHelene,"RT @TIM_7375: 🦢🦢#Confinement aux pieds d’une cathédrale de #NotreDame meurtrie depuis presque un an, l’absence des nombreux bateaux mouches…",True,TIM_7375
2020-03-30 23:58:37,Toussaintmaken2,"RT @France24_fr: Insolite : pour protéger leurs proches du #coronavirus, des villageois se confinent dans des arbres en #Inde  🇮🇳

#Covid_1…",True,France24_fr
2020-03-30 23:58:00,Maidencloud,RT @davidperrotin: Ça serait intéressant de savoir combien de verbalisations abusives il va y avoir au total #confinement https://t.co/Ckfl…,True,davidperrotin
2020-03-30 23:57:22,guyzmo,RT @davidperrotin: Ça serait intéressant de savoir combien de verbalisations abusives il va y avoir au total #confinement https://t.co/Ckfl…,True,davidperrotin
2020-03-30 23:57:05,Debdeb1965,RT @chenry75: Paris : C'est la première fois que je vois dans Paris des personnes à la rue souffrir de la faim. Les restos du cœur se mobli…,True,chenry75
2020-03-30 23:56:46,KIMATHENA,"RT @Fondationfemmes: [COMMUNIQUÉ DE PRESSE]
Femmes victimes de violences en #confinement: La Fédération Nationale @SolidariteFemme et la Fo…",True,Fondationfemmes
2020-03-30 23:56:44,druide31,RT @davidperrotin: Ça serait intéressant de savoir combien de verbalisations abusives il va y avoir au total #confinement https://t.co/Ckfl…,True,davidperrotin
2020-03-30 23:56:40,NiniSemperPhi,RT @chenry75: Paris : C'est la première fois que je vois dans Paris des personnes à la rue souffrir de la faim. Les restos du cœur se mobli…,True,chenry75
2020-03-30 23:56:29,RoudeneSmain,RT @PoliceSynergie: Guet-apens cette nuit contre les #policiers aux Francs-Moisins (93). Le respect du #confinement #RestezChezVous vu par…,True,PoliceSynergie
2020-03-30 23:55:51,sanmibor,RT @davidperrotin: Ça serait intéressant de savoir combien de verbalisations abusives il va y avoir au total #confinement https://t.co/Ckfl…,True,davidperrotin
2020-03-30 23:55:28,lion38fr,"RT @afpfr: Nouveau #coronavirus : en Italie, le #confinement est prolongé ""au moins jusqu'à Pâques"" le 12 avril (gouvernement) #AFP https:/…",True,afpfr
2020-03-30 23:53:54,oceaneabv,RT @_afronity: Je suis de retour et cette fois avec la meilleure des invités : @_rayondelta ! Prends ton thé et rejoins la conversation sur…,True,_afronity
2020-03-30 23:53:49,Franco46604678,RT @davidperrotin: Ça serait intéressant de savoir combien de verbalisations abusives il va y avoir au total #confinement https://t.co/Ckfl…,True,davidperrotin
